points,position,wins,driverId,raceId
10.0,1,1,1,18
8.0,2,0,2,18
6.0,3,0,3,18
5.0,4,0,4,18
4.0,5,0,5,18
3.0,6,0,6,18
2.0,7,0,7,18
1.0,8,0,8,18
14.0,1,1,1,19
11.0,3,0,2,19
6.0,6,0,3,19
6.0,7,0,4,19
10.0,4,0,5,19
3.0,9,0,6,19
2.0,10,0,7,19
11.0,2,1,8,19
8.0,5,0,9,19
5.0,8,0,15,19
2.0,11,0,17,19
0.0,12,0,14,19
0.0,13,0,18,19
0.0,14,0,12,19
0.0,15,0,21,19
0.0,16,0,22,19
0.0,17,0,19,19
0.0,18,0,11,19
14.0,3,1,1,20
16.0,2,0,2,20
7.0,8,0,3,20
6.0,9,0,4,20
14.0,5,0,5,20
3.0,11,0,6,20
2.0,12,0,7,20
19.0,1,1,8,20
14.0,4,0,9,20
8.0,7,0,15,20
4.0,10,0,17,20
0.0,13,0,14,20
0.0,15,0,18,20
0.0,17,0,12,20
0.0,18,0,21,20
0.0,16,0,22,20
0.0,19,0,19,20
0.0,20,0,11,20
10.0,6,1,13,20
0.0,14,0,10,20
0.0,21,0,16,20
20.0,2,1,1,21
16.0,5,0,2,21
7.0,9,0,3,21
6.0,10,0,4,21
14.0,6,0,5,21
5.0,11,0,6,21
2.0,13,0,7,21
29.0,1,2,8,21
19.0,3,0,9,21
9.0,7,0,15,21
8.0,8,0,17,21
0.0,15,0,14,21
3.0,12,0,18,21
0.0,18,0,12,21
0.0,16,0,21,21
0.0,17,0,22,21
0.0,20,0,19,21
0.0,19,0,11,21
18.0,4,1,13,21
0.0,14,0,10,21
0.0,21,0,16,21
28.0,3,1,1,22
20.0,5,0,2,22
8.0,10,0,3,22
9.0,8,0,4,22
14.0,6,0,5,22
5.0,11,0,6,22
2.0,13,0,7,22
35.0,1,2,8,22
24.0,4,0,9,22
9.0,9,0,15,22
10.0,7,0,17,22
0.0,14,0,14,22
3.0,12,0,18,22
0.0,18,0,12,22
0.0,16,0,21,22
0.0,17,0,22,22
0.0,20,0,19,22
0.0,19,0,11,22
28.0,2,2,13,22
0.0,15,0,10,22
0.0,21,0,16,22
0.0,22,0,20,22
38.0,1,2,1,23
20.0,5,0,2,23
8.0,10,0,3,23
9.0,8,0,4,23
15.0,6,0,5,23
7.0,11,0,6,23
2.0,15,0,7,23
35.0,2,2,8,23
32.0,4,0,9,23
9.0,9,0,15,23
15.0,7,0,17,23
0.0,16,0,14,23
3.0,13,0,18,23
0.0,19,0,12,23
0.0,18,0,21,23
3.0,14,0,22,23
0.0,21,0,19,23
0.0,20,0,11,23
34.0,3,2,13,23
0.0,17,0,10,23
0.0,22,0,16,23
4.0,12,0,20,23
38.0,2,2,1,24
28.0,5,0,2,24
8.0,10,0,3,24
9.0,9,0,4,24
15.0,6,0,5,24
7.0,11,0,6,24
2.0,17,0,7,24
35.0,4,2,8,24
42.0,1,1,9,24
12.0,8,0,15,24
15.0,7,0,17,24
6.0,12,0,14,24
3.0,16,0,18,24
0.0,19,0,12,24
0.0,18,0,21,24
5.0,15,0,22,24
0.0,21,0,19,24
0.0,20,0,11,24
38.0,3,2,13,24
5.0,13,0,10,24
0.0,22,0,16,24
5.0,14,0,20,24
38.0,4,2,1,25
28.0,5,0,2,25
8.0,10,0,3,25
