position,driverId,raceId
1,1,18
2,2,18
3,3,18
4,4,18
5,5,18
6,6,18
7,7,18
8,8,18
1,8,19
2,9,19
3,5,19
4,15,19
5,1,19
6,2,19
7,17,19
8,4,19
9,14,19
10,18,19
11,12,19
12,21,19
13,22,19
14,3,19
15,19,19
16,11,19
17,6,19
1,13,20
2,8,20
3,9,20
4,2,20
5,5,20
6,15,20
7,17,20
8,3,20
9,10,20
10,4,20
11,22,20
12,21,20
13,1,20
14,6,20
15,7,20
16,19,20
17,11,20
18,14,20
19,16,20
1,8,21
2,13,21
3,1,21
4,9,21
5,17,21
6,18,21
7,6,21
8,15,21
9,2,21
10,21,21
11,10,21
12,14,21
13,11,21
1,13,22
2,1,22
3,8,22
4,9,22
5,2,22
6,4,22
7,17,22
8,3,22
9,14,22
10,15,22
11,18,22
12,5,22
13,10,22
14,22,22
15,12,22
16,16,22
17,20,22
1,1,23
2,9,23
3,13,23
4,17,23
5,20,23
6,22,23
7,6,23
8,5,23
9,8,23
10,4,23
11,18,23
12,10,23
13,15,23
14,2,23
1,9,24
2,2,24
3,14,24
4,10,24
5,13,24
6,15,24
7,22,24
8,20,24
9,5,24
10,3,24
11,18,24
12,17,24
13,7,24
1,13,25
2,8,25
3,15,25
4,5,25
5,9,25
6,17,25
7,12,25
8,4,25
9,14,25
10,1,25
11,10,25
12,20,25
13,2,25
14,22,25
15,6,25
16,3,25
17,7,25
18,21,25
19,16,25
1,1,26
2,2,26
3,22,26
4,8,26
5,5,26
6,4,26
7,15,26
8,6,26
9,3,26
10,17,26
11,7,26
12,10,26
13,13,26
1,1,27
2,12,27
3,13,27
4,2,27
5,5,27
6,8,27
7,9,27
8,20,27
9,15,27
10,3,27
11,4,27
12,7,27
13,14,27
14,6,27
15,16,27
16,21,27
17,18,27
1,5,28
2,10,28
3,8,28
4,4,28
5,1,28
6,12,28
7,15,28
8,9,28
9,17,28
10,2,28
11,14,28
12,18,28
13,6,28
14,3,28
15,21,28
16,22,28
17,13,28
18,7,28
1,13,29
2,1,29
3,9,29
4,5,29
5,15,29
6,20,29
7,10,29
8,3,29
9,2,29
10,7,29
11,12,29
12,17,29
13,18,29
14,21,29
15,6,29
16,22,29
17,14,29
1,13,30
2,2,30
3,1,30
4,4,30
5,20,30
6,9,30
7,7,30
8,17,30
9,10,30
10,5,30
11,14,30
12,3,30
13,16,30
14,6,30
15,18,30
16,15,30
17,21,30
18,8,30
1,20,31
2,5,31
3,9,31
4,4,31
5,2,31
6,13,31
7,1,31
8,17,31
9,8,31
10,12,31
11,10,31
